Euring;Sortering;Artnavn;Latin;English;Status;Type
09910;5860;Klippesvale;"Ptyonoprogne rupestris";"Eurasian Crag Martin";AU;art
09920;5870;Landsvale;"Hirundo rustica";"Barn Swallow";A;art
09923;5880;"Landsvale, Libanonlandsvale (ssp. transitiva)";"Hirundo rustica transitiva";"Barn Swallow (ssp. transitiva)";U;underart
10018;5890;"Landsvale x Bysvale (hybrid)";"Hirundo rustica x Delichon urbicum";"Barn Swallow x Common House Martin";H;hybrid
10010;5900;Bysvale;"Delichon urbicum";"Common House Martin";A;art
09950;5910;"Rødrygget Svale";"Cecropis rufula";"European Red-rumped Swallow";AS;art
32450;5915;"Rødbrystet Svale";"Cecropis semirufa";"Red-breasted Swallow";U;art
09951;5915;Amursvale;"Cecropis daurica";"Eastern Red-rumped Swallow";AU;art
14370;5920;Halemejse;"Aegithalos caudatus";"Long-tailed Tit";A;art
14371;5930;"Halemejse, Nordlig (ssp. caudatus)";"Aegithalos caudatus caudatus";"Long-tailed Bushtit (ssp. caudatus)";A;underart
14374;5940;"Halemejse, Sydlig (ssp. europaeus)";"Aegithalos caudatus europaeus";"Long-tailed Bushtit (ssp. europaeus)";A;underart
14378;5950;"Nordlig Halemejse x Sydlig Halemejse (hybrid)";"Aegithalos c. caudatus x A. c. europaeus";"Long-tailed Bushtit (caudatus x europaeus)";H;hybrid
13080;5960;Skovsanger;"Phylloscopus sibilatrix";"Wood Warbler";A;art
13070;5970;Bjergløvsanger;"Phylloscopus bonelli";"Western Bonelli's Warbler";AU;art
13079;5980;Bjergløvsanger/Balkanløvsanger;"Phylloscopus bonelli/P. orientalis";"Western Bonelli´s Warbler/Eastern Bonelli´s Warbler";HU;ubestemt
13005;5990;Himalayasanger;"Phylloscopus humei";"Hume's Leaf Warbler";AU;art
13000;6000;"Hvidbrynet Løvsanger";"Phylloscopus inornatus";"Yellow-browed Warbler";AS;art
12980;6010;Fuglekongesanger;"Phylloscopus proregulus";"Pallas's Leaf Warbler";AS;art
13010;6020;"Schwarz´ Løvsanger";"Phylloscopus schwarzi";"Radde's Warbler";AU;art
13050;6030;Sinkiangløvsanger;"Phylloscopus griseolus";"Sulphur-bellied warbler";AU;art
13030;6040;"Brun Løvsanger";"Phylloscopus fuscatus";"Dusky Warbler";AS;art
13120;6050;Løvsanger;"Phylloscopus trochilus";"Willow Warbler";A;art
13121;6060;"Løvsanger, Almindelig (ssp. trochilus)";"Phylloscopus trochilus trochilus";"Willow Warbler (ssp. trochilus)";A;underart
13122;6070;"Løvsanger, Nordlig (ssp. acredula)";"Phylloscopus trochilus acredula";"Willow Warbler (ssp. acredula)";A;underart
13119;6080;"Gransanger x Løvsanger (hybrid)";"Phylloscopus collybita x P. trochilus";"Common Chiffchaff x Willow Warbler";H;hybrid
13110;6090;Gransanger;"Phylloscopus collybita";"Common Chiffchaff";A;art
13111;6100;"Gransanger, Sydlig (ssp. collybita)";"Phylloscopus collybita collybita";"Common Chiffchaff (ssp. collybita)";A;underart
13114;6110;"Gransanger, Skandinavisk (ssp. abietinus)";"Phylloscopus collybita abietinus";"Common Chiffchaff (ssp. abietinus)";A;underart
13113;6120;"Gransanger, Sibirisk (ssp. tristis)";"Phylloscopus collybita tristis";"Common Chiffchaff (ssp. tristis)";AS;underart
13116;6130;"Iberisk Gransanger";"Phylloscopus ibericus";"Iberian Chiffchaff";AU;art
12910;6140;"Grøn Sanger";"Phylloscopus nitidus";"Green Warbler";AU;art
13129;6150;"Phylloscopus sp.";"Phylloscopus sp.";"Warbler sp. (Phylloscopus)";H;ubestemt
12920;6160;"Østlig Lundsanger";"Phylloscopus plumbeitarsus";"Two-barred Warbler";AU;art
12930;6170;Lundsanger;"Phylloscopus trochiloides";"Greenish Warbler";AS;art
12950;6180;Nordsanger;"Phylloscopus borealis";"Arctic Warbler";AU;art
12530;6190;Drosselrørsanger;"Acrocephalus arundinaceus";"Great Reed Warbler";AS;art
12410;6200;Tamarisksanger;"Acrocephalus melanopogon";"Moustached Warbler";U;art
12420;6210;Vandsanger;"Acrocephalus paludicola";"Aquatic Warbler";AU;art
12430;6220;Sivsanger;"Acrocephalus schoenobaenus";"Sedge Warbler";A;art
12470;6230;"Lille Rørsanger";"Acrocephalus agricola";"Paddyfield Warbler";AU;art
12480;6240;Buskrørsanger;"Acrocephalus dumetorum";"Blyth's Reed Warbler";AS;art
12510;6250;Rørsanger;"Acrocephalus scirpaceus";"Eurasian Reed Warbler";A;art
12500;6260;Kærsanger;"Acrocephalus palustris";"Marsh Warbler";A;art
12560;6270;"Lille Gulbug";"Iduna caligata";"Booted Warbler";AU;art
12550;6280;"Bleg Gulbug";"Iduna pallida";"Eastern Olivaceous Warbler";AU;art
12600;6290;Spottesanger;"Hippolais polyglotta";"Melodious Warbler";AU;art
12590;6300;Gulbug;"Hippolais icterina";"Icterine Warbler";A;art
12390;6310;"Stor Græshoppesanger";"Helopsaltes fasciolatus";"Gray's Grasshopper Warbler";AU;art
12350;6320;"Stribet Græshoppesanger";"Locustella lanceolata";"Lanceolated Warbler";AU;art
12370;6330;Flodsanger;"Locustella fluviatilis";"River Warbler";AS;art
12380;6340;Savisanger;"Locustella luscinioides";"Savi's Warbler";AS;art
12360;6350;Græshoppesanger;"Locustella naevia";"Common Grasshopper Warbler";A;art
12260;6360;Cistussanger;"Cisticola juncidis";"Zitting Cisticola";AU;art
12770;6370;Munk;"Sylvia atricapilla";"Eurasian Blackcap";A;art
12760;6380;Havesanger;"Sylvia borin";"Garden Warbler";A;art
12730;6390;Høgesanger;"Curruca nisoria";"Barred Warbler";AS;art
12740;6400;Gærdesanger;"Curruca curruca";"Lesser Whitethroat";A;art
12742;6410;"Gærdesanger, Sibirisk (ssp. blythi)";"Curruca curruca blythi";"Lesser Whitethroat (ssp. blythi)";AU;underart
12739;6420;"Gærdesanger, Steppe (ssp. halimodendri)";"Curruca curruca halimodendri";"Lesser Whitethroat (ssp. halimodendri)";AU;underart
12747;6430;"Gærdesanger, Sibirisk/Steppe (ssp. blythi/halimodendri)";"Curruca curruca blythi/C. C. halimodendri";"Lesser Whitethroat (ssp. blythi/halimodendri)";U;ubestemt
12700;6440;"Asiatisk Ørkensanger";"Curruca nana";"Asian Desert Warbler";AU;art
12690;6450;"Sortstrubet Sanger";"Curruca ruppeli";"Rüppell's Warbler";AU;art
12670;6460;"Sorthovedet Sanger";"Curruca melanocephala";"Sardinian Warbler";AU;art
12656;6470;"Iberisk Sanger";"Curruca iberiae";"Western Subalpine Warbler";AU;art
12655;6480;Makisanger;"Curruca subalpina";"Moltoni's Warbler";AU;art
12654;6490;"Rødstrubet Sanger";"Curruca cantillans";"Eastern Subalpine Warbler";AU;art
12653;6500;"Rødstrubet Sanger (ssp. albistriata)";"Curruca cantillans albistriata";"Eastern Subalpine Warbler (ssp. albistriata)";AU;underart
12651;6510;"Rødstrubet Sanger (ssp. cantillans)";"Curruca cantillans cantillans";"Eastern Subalpine Warbler (ssp. cantillans)";AU;underart
12650;6520;"Rødstrubet Sanger/Iberisk Sanger/Makisanger";"Curruca cantillans/iberiae/subalpina";"Eastern/Western Subalpine/Moltoni's Warbler";HU;ubestemt
12750;6530;Tornsanger;"Curruca communis";"Common Whitethroat";A;art
12610;6540;"Sardinsk Sanger";"Curruca sarda";"Marmora's Warbler";AU;art
13150;6550;"Rødtoppet Fuglekonge";"Regulus ignicapilla";"Common Firecrest";A;art
13168;6560;"Sanger sp.";Sylvidae;"Warbler sp.";H;ubestemt
13140;6570;Fuglekonge;"Regulus regulus";Goldcrest;A;art
10660;6580;Gærdesmutte;"Troglodytes troglodytes";"Eurasian Wren";A;art
10669;6590;"Gærdesmutte, Nordatlantisk (fridariensis/hirtensis/borealis)";"Troglodytes troglodytes ssp. fridariensis/hirtensis/borealis";"Eurasian Wren (ssp. fridariensis/hirtensis/borealis)";AU;underart
14790;6600;Spætmejse;"Sitta europaea";"Eurasian Nuthatch";A;art
14791;6610;"Spætmejse, Lysbuget (ssp. europaea)";"Sitta europaea europaea";"Eurasian Nuthatch (ssp. europaea)";A;underart
14793;6620;"Spætmejse, Mørkbuget (ssp. caesia)";"Sitta europaea caesia";"Eurasian Nuthatch (ssp. caesia)";A;underart
14860;6630;Træløber;"Certhia familiaris";"Eurasian Treecreeper";A;art
14861;6640;"Træløber, Nordlig (ssp. familiaris)";"Certhia familiaris familiaris";"Eurasian Treecreeper (ssp. familiaris)";A;underart
14863;6650;"Træløber, Sydlig (ssp. macrodactyla)";"Certhia familiaris macrodactyla";"Eurasian Treecreeper (ssp. macrodactyla)";A;underart
14869;6660;"Træløber/Korttået Træløber";"Certhia familiaris/C. brachydactyla";"Eurasian Treecreeper/Short-toed Treecreeper";H;ubestemt
14870;6670;"Korttået Træløber";"Certhia brachydactyla";"Short-toed Treecreeper";A;art
15840;6680;Rosenstær;"Pastor roseus";"Rosy Starling";AS;art
15820;6690;Stær;"Sturnus vulgaris";"Common Starling";A;art
15830;6700;"Ensfarvet Stær";"Sturnus unicolor";"Spotless Starling";AU;art
33810;6710;"Rødvinget Sortstær";"Onychognathus morio";"Red-winged Starling";E;art
11770;6720;Olivenskovdrossel;"Catharus ustulatus";"Swainson's Thrush";AU;art
11760;6730;Eremitdrossel;"Catharus guttatus";"Hermit Thrush";AU;art
11700;6740;Gulddrossel;"Zoothera aurea";"White's Thrush";AU;art
12000;6750;Sangdrossel;"Turdus philomelos";"Song Thrush";A;art
12020;6760;Misteldrossel;"Turdus viscivorus";"Mistle Thrush";A;art
12010;6770;Vindrossel;"Turdus iliacus";Redwing;A;art
12012;6780;"Vindrossel, Islandsk (ssp. coburni)";"Turdus iliacus coburni";"Redwing (ssp. coburni)";AS;underart
12009;6790;Sangdrossel/Vindrossel;"Turdus philomelos/T. iliacus";"Song Thrush/Redwing";H;ubestemt
11870;6800;Solsort;"Turdus merula";"Common Blackbird";A;art
11950;6810;"Gråstrubet Drossel";"Turdus obscurus";"Eyebrowed Thrush";AU;art
11980;6820;Sjagger;"Turdus pilaris";Fieldfare;A;art
11989;6830;"Sjagger x Solsort (hybrid)";"Turdus pilaris x T. merula";"Fieldfare x Common Blackbird";H;hybrid
11860;6840;Ringdrossel;"Turdus torquatus";"Ring Ouzel";A;art
11972;6850;"Sortstrubet Drossel";"Turdus atrogularis";"Black-throated Thrush";AU;art
12069;6860;"Drossel sp.";Turdinae;"Thrush sp.";H;ubestemt
11962;6870;Brundrossel;"Turdus eunomus";"Dusky Thrush";AU;art
12030;6880;Vandredrossel;"Turdus migratorius";"American Robin";AU;art
13340;6890;"Brun Fluesnapper";"Muscicapa dauurica";"Asian Brown Flycatcher";AU;art
13350;6900;"Grå Fluesnapper";"Muscicapa striata";"Spotted Flycatcher";A;art
10990;6910;Rødhals;"Erithacus rubecula";"European Robin";A;art
11030;6920;Nattergal;"Luscinia luscinia";"Thrush Nightingale";A;art
11040;6930;"Sydlig Nattergal";"Luscinia megarhynchos";"Common Nightingale";AS;art
11039;6940;"Nattergal/Sydlig Nattergal";"Luscinia luscinia/L. megarhynchos";"Thrush Nightingale/Common Nightingale";H;ubestemt
11060;6950;Blåhals;"Luscinia svecica";Bluethroat;A;art
11061;6960;"Blåhals, Nordlig (ssp. svecica)";"Luscinia svecica svecica";"Bluethroat (ssp. svecica)";AS;underart
11062;6970;"Blåhals, Sydlig (ssp. cyanecula)";"Luscinia svecica cyanecula";"Bluethroat (ssp. cyanecula)";A;underart
11050;6980;Rubinnattergal;"Calliope calliope";"Siberian Rubythroat";AU;art
11020;6990;Dværgnattergal;"Larvivora sibilans";"Rufous-tailed Robin";AU;art
13430;7000;"Lille Fluesnapper";"Ficedula parva";"Red-breasted Flycatcher";AS;art
13432;7010;Tajgafluesnapper;"Ficedula albicilla";"Taiga Flycatcher";AU;art
13490;7020;"Broget Fluesnapper";"Ficedula hypoleuca";"European Pied Flycatcher";A;art
13480;7030;"Hvidhalset Fluesnapper";"Ficedula albicollis";"Collared Flycatcher";AS;art
13489;7040;"Hvidhalset Fluesnapper x Broget Fluesnapper (hybrid)";"Ficedula albicollis x F. hypoleuca";"Collared Flycatcher x European Pied Flycatcher";H;hybrid
13559;7050;"Fluesnapper sp.";Muscicapidae;"Flycatcher sp.";H;ubestemt
11130;7060;Blåstjert;"Tarsiger cyanurus";"Red-flanked Bluetail";AU;art
11210;7070;Husrødstjert;"Phoenicurus ochruros";"Black Redstart";A;art
11215;7080;"Husrødstjert, Tien-Shan (ssp. phoenicuroides)";"Phoenicurus ochruros phoenicuroides";"Black Redstart (ssp. phoenicuroides)";U;underart
11220;7090;Rødstjert;"Phoenicurus phoenicurus";"Common Redstart";A;art
11620;7100;Stendrossel;"Monticola saxatilis";"Common Rock Thrush";AU;art
11370;7110;Bynkefugl;"Saxicola rubetra";Whinchat;A;art
11392;7120;"Japansk Bynkefugl";"Saxicola stejnegeri";"Stejneger's Stonechat";AU;art
11398;7130;"Sibirisk Bynkefugl/Japansk Bynkefugl";"Saxicola maurus/S. stejnegeri";"Siberian Stonechat/Stejneger's Stonechat";AU;ubestemt
11399;7140;"Sibirisk Bynkefugl";"Saxicola maurus";"Siberian Stonechat";AU;art
11396;7150;"Sibirisk Bynkefugl, Steppebynkefugl (ssp. variegatus)";"Saxicola maurus variegatus";"Siberian Stonechat (ssp. variegatus)";AU;underart
11394;7160;"Sibirisk Bynkefugl (ssp. maurus)";"Saxicola maurus maurus";"Siberian Stonechat (ssp. maurus)";AU;underart
11397;7170;"Sibirisk Bynkefugl, Kaukasusbynkefugl (ssp. hemprichii)";"Saxicola maurus hemprichii";"Siberian Stonechat (ssp. hemprichii)";AU;underart
11390;7180;"Sortstrubet Bynkefugl";"Saxicola rubicola";"European Stonechat";A;art
11391;7190;"Sortstrubet Bynkefugl, Europæisk (ssp. rubicola)";"Saxicola rubicola rubicola";"European Stonechat (ssp. rubicola)";A;underart
11393;7200;"Sortstrubet Bynkefugl, Atlantisk (ssp. hibernans)";"Saxicola rubicola hibernans";"European Stonechat (ssp. hibernans)";A;underart
11460;7210;Stenpikker;"Oenanthe oenanthe";"Northern Wheatear";A;art
11461;7220;"Stenpikker (ssp. oenanthe)";"Oenanthe oenanthe oenanthe";"Northern Wheatear (ssp. oenanthe)";A;underart
11462;7230;"Stenpikker, Grønlandsk (ssp. leucorhoa)";"Oenanthe oenanthe leucorhoa";"Northern Wheatear (ssp. leucorhoa)";A;underart
11440;7240;Isabellastenpikker;"Oenanthe isabellina";"Isabelline Wheatear";AU;art
11490;7250;Ørkenstenpikker;"Oenanthe deserti";"Desert Wheatear";AU;art
11480;7260;"Vestlig Middelhavsstenpikker/Østlig Middelhavsstenpikker ";"Oenanthe hispanica/O. melanoleuca";"Western Black-eared Wheatear/Eastern Black-eared Wheatear";AU;ubestemt
11481;7270;"Vestlig Middelhavsstenpikker";"Oenanthe hispanica";"Western Black-eared Wheatear";AU;art
11470;7280;Nonnestenpikker;"Oenanthe pleschanka";"Pied Wheatear";AU;art
11482;7290;"Østlig Middelhavsstenpikker";"Oenanthe melanoleuca";"Eastern Black-eared Wheatear";AU;art
11570;7300;"Hvidkronet Stenpikker";"Oenanthe leucopyga";"White-crowned Wheatear";AU;art
10500;7310;Vandstær;"Cinclus cinclus";"White-throated Dipper";A;art
16110;7320;Snefinke;"Montifringilla nivalis";"White-winged Snowfinch";AU;art
15980;7330;Skovspurv;"Passer montanus";"Eurasian Tree Sparrow";A;art
15989;7340;"Gråspurv x Skovspurv (hybrid)";"Passer domesticus x P. montanus";"House Sparrow x Eurasian Tree Sparrow";H;hybrid
15988;7350;Gråspurv/Skovspurv;"Passer domesticus/P. montanus";"House Sparrow/Eurasian Tree Sparrow";H;ubestemt
15920;7360;"Spansk Spurv";"Passer hispaniolensis";"Spanish Sparrow";AU;art
15910;7370;Gråspurv;"Passer domesticus";"House Sparrow";A;art
10940;7380;Alpejernspurv;"Prunella collaris";"Alpine Accentor";AU;art
10860;7390;"Sibirisk Jernspurv";"Prunella montanella";"Siberian Accentor";AU;art
10900;7400;"Sortstrubet Jernspurv";"Prunella atrogularis";"Black-throated Accentor";AU;art
10840;7410;Jernspurv;"Prunella modularis";Dunnock;A;art
10170;7420;"Gul Vipstjert";"Motacilla flava";"Western Yellow Wagtail";A;art
10171;7430;"Gul Vipstjert (ssp. flava)";"Motacilla flava flava";"Western Yellow Wagtail (ssp. flava)";A;underart
10172;7440;"Gul Vipstjert, Gulhovedet (ssp. flavissima)";"Motacilla flava flavissima";"Western Yellow Wagtail (ssp. flavissima)";AS;underart
10174;7450;"Gul Vipstjert, Sorthovedet (ssp. feldegg)";"Motacilla flava feldegg";"Western Yellow Wagtail (ssp. feldegg)";AU;underart
10173;7460;"Gul Vipstjert, Nordlig (ssp. thunbergi)";"Motacilla flava thunbergi";"Western Yellow Wagtail (ssp. thunbergi)";A;underart
10179;7470;"Gul Vipstjert, Almindelig x Gulhovedet (hybrid)";"Motacilla flava flava x M. f. flavissima";"Western Yellow Wagtail (flava x flavissima)";H;hybrid
26643;7475;"Boreal Gul Vipstjert";"Motacilla tschutschensis";"Eastern Yellow Wagtail";AU;art
10180;7480;Citronvipstjert;"Motacilla citreola";"Citrine Wagtail";AS;art
10181;7490;"Citronvipstjert x Gul Vipstjert (hybrid)";"Motacilla citreola x M. flava";"Citrine Wagtail x Western Yellow Wagtail";H;hybrid
10190;7500;Bjergvipstjert;"Motacilla cinerea";"Grey Wagtail";A;art
10200;7510;"Hvid Vipstjert";"Motacilla alba";"White Wagtail";A;art
10201;7520;"Hvid Vipstjert (ssp. alba)";"Motacilla alba alba";"White Wagtail (ssp. alba)";A;underart
10202;7530;"Hvid Vipstjert, Sortrygget Vipstjert (ssp. yarrellii)";"Motacilla alba yarrellii";"White Wagtail (ssp. yarrellii)";AS;underart
10239;7540;"Vipstjert sp.";"Motacilla sp.";"Wagtail sp.";H;ubestemt
10020;7550;Storpiber;"Anthus richardi";"Richard's Pipit";AS;art
10040;7560;"Mongolsk Piber";"Anthus godlewskii";"Blyth's Pipit";AU;art
10050;7570;Markpiber;"Anthus campestris";"Tawny Pipit";AS;art
10159;7580;"Piber sp.";"Anthus sp.";"Pipit sp.";H;ubestemt
10110;7590;Engpiber;"Anthus pratensis";"Meadow Pipit";A;art
10090;7600;Skovpiber;"Anthus trivialis";"Tree Pipit";A;art
10080;7610;Tajgapiber;"Anthus hodgsoni";"Olive-backed Pipit";AU;art
10120;7620;"Rødstrubet Piber";"Anthus cervinus";"Red-throated Pipit";AS;art
10140;7630;Bjergpiber;"Anthus spinoletta";"Water Pipit";AS;art
10135;7640;Skærpiber;"Anthus petrosus";"European Rock Pipit";A;art
10144;7650;Bjergpiber/Skærpiber;"Anthus spinoletta/A. petrosus";"Water Pipit/European Rock Pipit";H;ubestemt
16360;7660;Bogfinke;"Fringilla coelebs";"Common Chaffinch";A;art
16380;7670;Kvækerfinke;"Fringilla montifringilla";Brambling;A;art
16388;7680;Bogfinke/Kvækerfinke;"Fringilla coelebs/F. montifringilla";"Common Chaffinch/Brambling";H;ubestemt
16389;7690;"Finke sp.";Fringillidae;"Fringillidae sp.";H;ubestemt
17170;7700;Kernebider;"Coccothraustes coccothraustes";Hawfinch;A;art
16990;7710;Krognæb;"Pinicola enucleator";"Pine Grosbeak";AU;art
17100;7720;Dompap;"Pyrrhula pyrrhula";"Eurasian Bullfinch";A;art
17101;7730;"Dompap, Stor (ssp. pyrrhula)";"Pyrrhula pyrrhula pyrrhula";"Eurasian Bullfinch (ssp. pyrrhula)";A;underart
17102;7740;"Dompap, Lille (ssp. europaea)";"Pyrrhula pyrrhula europaea";"Eurasian Bullfinch (ssp. europaea)";A;underart
16760;7750;Ørkendompap;"Bucanetes githagineus";"Trumpeter Finch";AU;art
16790;7760;Karmindompap;"Carpodacus erythrinus";"Common Rosefinch";A;art
17040;7770;"Kinesisk/Sibirisk Langhalet Rosenfinke";"Carpodacus lepidus/C. sibiricus";"Chinese/Siberian Long-tailed Rosefinch";HU;ubestemt
16890;7780;Rosenfinke;"Carpodacus roseus";"Pallas's Rosefinch";E;art
16490;7790;Grønirisk;"Chloris chloris";"European Greenfinch";A;art
16500;7800;Brunirisk;"Chloris sinica";"Grey-capped Greenfinch";E;art
16740;7810;Ørkenfinke;"Rhodospiza obsoleta";"Desert Finch";E;art
16620;7820;Bjergirisk;"Linaria flavirostris";Twite;A;art
16600;7830;Tornirisk;"Linaria cannabina";"Common Linnet";A;art
16609;7840;Tornirisk/Bjergirisk;"Linaria cannabina/L. flavirostris";"Common Linnet/Twite";H;ubestemt
16634;7850;"Nordlig Gråsisken";"Acanthis flammea";"Common Redpoll";A;art
16632;7860;"Nordlig Gråsisken, Grønlandsk (ssp. rostrata)";"Acanthis flammea rostrata";"Common Redpoll (ssp. rostrata)";AU;underart
16635;7870;"Lille Gråsisken";"Acanthis cabaret";"Lesser Redpoll";A;art
16630;7880;"Nordlig Gråsisken/Lille Gråsisken";"Acanthis flammea/A. cabaret";"Common Redpoll/Lesser Redpoll";H;ubestemt
16640;7890;Hvidsisken;"Acanthis hornemanni";"Arctic Redpoll";AS;art
16649;7900;"Sisken sp.";"Spinus/Acanthis sp.";"Spinus/Acanthis sp.";H;ubestemt
16680;7910;"Stor Korsnæb";"Loxia pytyopsittacus";"Parrot Crossbill";AS;art
16660;7920;"Lille Korsnæb";"Loxia curvirostra";"Red Crossbill";A;art
16669;7930;"Lille Korsnæb/Stor Korsnæb";"Loxia curvirostra/L. pytyopsittacus";"Red Crossbill/Parrot Crossbill";H;ubestemt
16689;7940;"Korsnæb sp.";"Loxia sp.";"Crossbill sp.";H;ubestemt
16650;7950;"Hvidvinget Korsnæb";"Loxia leucoptera";"Two-barred Crossbill";AS;art
16530;7960;Stillits;"Carduelis carduelis";"European Goldfinch";A;art
16400;7970;Gulirisk;"Serinus serinus";"European Serin";AS;art
16420;7980;Kanariefugl;"Serinus canaria";"Atlantic Canary";E;art
16540;7990;Grønsisken;"Spinus spinus";"Eurasian Siskin";A;art
18470;8000;Lapværling;"Calcarius lapponicus";"Lapland Longspur";A;art
18500;8010;Snespurv;"Plectrophenax nivalis";"Snow Bunting";A;art
18479;8020;Lapværling/Snespurv;"Calcarius lapponicus/Plectrophenax nivalis";"Lapland Longspur/Snow Bunting";H;ubestemt
18820;8030;Bomlærke;"Emberiza calandra";"Corn Bunting";A;art
18570;8040;Gulspurv;"Emberiza citrinella";Yellowhammer;A;art
18560;8050;"Hvidkindet Værling";"Emberiza leucocephalos";"Pine Bunting";AU;art
18600;8060;Klippeværling;"Emberiza cia";"Rock Bunting";AU;art
18650;8070;"Gulgrå Værling";"Emberiza cineracea";"Cinereous Bunting";AU;art
18660;8080;Hortulan;"Emberiza hortulana";"Ortolan Bunting";AS;art
18580;8090;Gærdeværling;"Emberiza cirlus";"Cirl Bunting";AU;art
18740;8100;Dværgværling;"Emberiza pusilla";"Little Bunting";AS;art
18710;8110;"Gulbrynet Værling";"Emberiza chrysophrys";"Yellow-browed Bunting";AU;art
18819;8120;"Værling sp.";"Emberiza sp.";"Bunting sp.";H;ubestemt
18730;8130;Pileværling;"Emberiza rustica";"Rustic Bunting";AU;art
18760;8140;"Gulbrystet Værling";"Emberiza aureola";"Yellow-breasted Bunting";AU;art
18810;8150;Hætteværling;"Emberiza melanocephala";"Black-headed Bunting";AU;art
18809;8160;"Brunhovedet Værling/Hætteværling";"Emberiza bruniceps/E. melanocephala";"Red-headed Bunting/Black-headed Bunting";HU;ubestemt
18800;8170;"Brunhovedet Værling";"Emberiza bruniceps";"Red-headed Bunting";AU;art
18770;8180;Rørspurv;"Emberiza schoeniclus";"Common Reed Bunting";A;art
18420;8190;"Mørkøjet Junco";"Junco hyemalis";"Dark-eyed Junco";AU;art
18400;8200;"Hvidstrubet Spurv";"Zonotrichia albicollis";"White-throated Sparrow";AU;art
17330;8210;"Gul Sanger";"Setophaga aestiva";"American Yellow Warbler";AU;art
17530;8220;"Stribet Sanger";"Setophaga striata";"Blackpoll Warbler";AU;art
18870;8230;"Rosenbrystet Kernebider";"Pheucticus ludovicianus";"Rose-breasted Grosbeak";AU;art
18920;8240;Indigofinke;"Passerina cyanea";"Indigo Bunting";DU;art
19999;8250;"Småfugl sp. (Pibere, Finker, Spurve o.lign.)";Passerinae;"Passerine sp.";H;ubestemt
24997;8260;"Burfugl sp.";"Cage bird sp.";"Cage bird sp.";H;ubestemt
99999;8270;"Ny fugleart for landet";"Aves sp.";"New bird species for Denmark";U;ubestemt
24998;8280;"Hybrid sp.";Hybrid;Hybrid;H;hybrid
AM001;8290;"Lille Vandsalamander";"Triturus vulgaris";"Common Newt";X;andre_dyr
AM002;8300;"Stor Vandsalamander";"Triturus cristatus";"Great Crested Newt";X;andre_dyr
AM003;8310;Bjergsalamander;"Triturus alpestris";"Alpine Newt";X;andre_dyr
AM004;8320;Klokkefrø;"Bombina bombina";"Fire-bellied Toad";X;andre_dyr
AM005;8330;Løgfrø;"Pelobates fuscus";"Common Spadefoot";X;andre_dyr
AM006;8340;Skrubtudse;"Bufo bufo";"Common Toad";X;andre_dyr
AM007;8350;"Grønbroget Tudse";"Bufo viridis";"Green Toad";X;andre_dyr
AM008;8360;Strandtudse;"Bufo calamita";Natterjack;X;andre_dyr
AM009;8370;Løvfrø;"Hyla arborea";"Common Tree Frog";X;andre_dyr
AM010;8380;"Butsnudet Frø";"Rana temporaria";"Common Frog";X;andre_dyr
AM011;8390;"Spidssnudet Frø";"Rana arvalis";"Moor Frog";X;andre_dyr
AM012;8400;Springfrø;"Rana dalmatina";"Agile Frog";X;andre_dyr
AM013;8410;"Grøn Frø";"Rana esculenta";"Edible Frog";X;andre_dyr
AM014;8420;Latterfrø;"Rana ridibunda";"Marsh Frog";X;andre_dyr
AM015;8430;Balkanlatterfrø;"Pelophylax kurtmuelleri";"Balkan frog";X;andre_dyr
AM069;8440;"Salamander sp.";Salamandridae;"Newt sp.";X;andre_dyr
AM079;8450;"Springpadder sp.";Salientia;"Frogs and Toads sp.";X;andre_dyr
AM087;8460;"Butsnudet/Spidssnudet/Springfrø sp.";"Rana temporaria/arvalis/dalmatina sp.";"Common/Moor/Agile Frog sp.";X;andre_dyr
AM088;8470;"Tudse sp.";Bufonidae;"Toad sp.";X;andre_dyr
AM089;8480;"Ægte Frø sp.";Ranidae;"Frog sp.";X;andre_dyr
AM113;8490;"Grøn Frø han/Latterfrø hun";"Rana esculenta/R. ridibunda";"Edible Frog male/Marsh Frog female";X;andre_dyr
LE001;8500;"Gråbåndet Bredpande";"Erynnis tages";"Dinky Skipper";X;andre_dyr
LE002;8510;"Spættet Bredpande";"Pyrgus malvae";"Grizzled Skipper";X;andre_dyr
LE003;8520;"Fransk Bredpande";"Pyrgus armoricanus";"Oberthürs Grizzled Skipper";X;andre_dyr
LE004;8530;Skærbredpande;"Pyrgus serratulae";"Olive Skipper";X;andre_dyr
LE005;8540;"Sortplettet Bredpande";"Carterocephalus silvicola";"Northern Chequered Skipper";X;andre_dyr
LE006;8550;Spejlbredpande;"Heteropterus morpheus";"Large Chequered Skipper";X;andre_dyr
LE007;8560;Stregbredpande;"Thymelicus lineola";"Essex Skipper";X;andre_dyr
LE008;8570;Skråstregbredpande;"Thymelicus sylvestris";"Small Skipper";X;andre_dyr
LE009;8580;Kommabredpande;"Hesperia comma";"Silver-spotted Skipper";X;andre_dyr
LE010;8590;"Stor Bredpande";"Ochlodes faunus";"Large Skipper";X;andre_dyr
LE263;8600;Marmorbredpande;"Carcharodus alceae";"Mallow Skipper";X;andre_dyr
LE011;8610;Apollo;"Parnassius apollo";Apollo;X;andre_dyr
LE012;8620;Mnemosyne;"Parnassius mnemosyne";"Clouded Apollo";X;andre_dyr
LE013;8630;Svalehale;"Papilio machaon";Swallowtail;X;andre_dyr
